산이름,장소유형,장소명,카테고리,주소,전화번호,산으로부터거리(m),도보시간(분),장소위도,장소경도,카카오지도URL,블로그언급수,맛집점수
광교산,음식점,나영집밥,음식점 > 한식,경기 수원시 장안구 팔달로316번길 16-29,031-242-7153,189,3,37.2910071343592,127.018720825492,http://place.map.kakao.com/1809731625,424594,93.0
광교산,카페,오늘,음식점 > 카페,경기 수원시 팔달구 정조로906번길 18-2,010-6836-5826,206,3,37.2886036341686,127.015467872,http://place.map.kakao.com/1718403580,176462,93.0
팔공산,음식점,애견동반 가능 돌방구가든,음식점 > 한식,대구 동구 팔공산로185길 57,010-3950-7277,350,5,35.98978416188847,128.69437775589992,http://place.map.kakao.com/8913886,40478,93.0
진악산,음식점,전북식당,음식점 > 한식 > 해장국,충남 금산군 금산읍 향군길 13,041-754-3531,346,5,36.1059995328664,127.491022014728,http://place.map.kakao.com/21273033,1931,92.9
팔공산,음식점,올바릇 나사리식당,음식점 > 한식 > 국수,대구 동구 팔공산로 1179,053-985-8038,403,5,35.988329415026,128.693637021893,http://place.map.kakao.com/723788746,1699,92.3
주왕산,음식점,행복식당,음식점 > 한식,경북 청송군 주왕산면 공원길 188,054-873-9996,174,2,36.3931873678442,129.145334941374,http://place.map.kakao.com/9594213,7560,91.8
화성 화산,음식점,차이나,음식점 > 중식 > 중국요리,경기 화성시 효행구 정남면 세자로 295,031-353-8550,866,12,37.1933227042665,126.979546281987,http://place.map.kakao.com/23317930,4525,91.6
천마산,음식점,서종대왕낙지 서종본점,"음식점 > 한식 > 해물,생선",경기 양평군 서종면 사랑제길 8,031-772-8293,241,3,37.5966619684621,127.35292128996,http://place.map.kakao.com/1548676412,1399,91.5
천마산,음식점,BBQ 양평서종점,음식점 > 치킨 > BBQ,경기 양평군 서종면 중미산로 16,031-771-8823,580,8,37.6039012953032,127.353856927415,http://place.map.kakao.com/2039030241,4415,91.4
진악산,음식점,홍길동족발보쌈전문점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",충남 금산군 금산읍 비호로 72,041-752-4989,363,5,36.106791317658,127.490453882857,http://place.map.kakao.com/8618708,1392,91.4
영인산,음식점,모박사부대찌개 아산점,"음식점 > 한식 > 찌개,전골 > 모박사부대찌개",충남 아산시 음봉면 음봉면로 54,041-544-1210,527,7,36.8515298655995,127.014877034708,http://place.map.kakao.com/10334887,4069,91.1
주왕산,음식점,좋은식당,음식점 > 한식,경북 청송군 주왕산면 공원길 219,054-874-6464,257,3,36.3959145256482,129.145392088925,http://place.map.kakao.com/10788934,6175,90.9
천마산,음식점,중화요리호반,음식점 > 중식 > 중국요리,경기 양평군 서종면 문호길 11,031-772-2626,657,9,37.6046816153809,127.35323323341,http://place.map.kakao.com/8368891,3889,90.9
남해 금산,음식점,용궁정숯불갈비,"음식점 > 한식 > 육류,고기 > 갈비",경남 남해군 이동면 무림로 89-12,055-863-0229,807,11,34.7990565741901,127.956654225029,http://place.map.kakao.com/10078919,3132,90.0
관악산,카페,카페드림 서울대학교300동점,음식점 > 카페 > 커피전문점 > 카페드림,서울 관악구 관악로 1,02-2282-6451,1237,16,37.45096637274742,126.95269160363186,http://place.map.kakao.com/1079875184,15062,90.0
천마산(전남),카페,카페더필드,음식점 > 카페 > 테마카페 > 애견카페,전남 순천시 해룡면 남가1길 90-39,061-721-4010,1024,14,34.9225235758365,127.542890434391,http://place.map.kakao.com/1954947320,210230,90.0
사량도 지리산,음식점,대박포차회식당,"음식점 > 한식 > 해물,생선 > 회",경남 통영시 사량면 진촌1길 26,010-4062-7888,1070,14,34.84449631151539,128.22336068438932,http://place.map.kakao.com/564189899,16253,90.0
가평 강씨봉,음식점,스카이닭갈비,"음식점 > 한식 > 육류,고기 > 닭요리",강원특별자치도 춘천시 남산면 서백길 80,033-264-9123,1409,19,37.84111967618169,127.55147830902472,http://place.map.kakao.com/19083676,12703,90.0
거제 가라산,음식점,그램그램 동부점,"음식점 > 한식 > 육류,고기 > 그램그램",경남 거제시 동부면 산양2길 18-4,055-635-9249,1442,19,34.8235446738614,128.605991440106,http://place.map.kakao.com/26595833,13468,90.0
가평 강씨봉,음식점,춘천미소닭갈비,"음식점 > 한식 > 육류,고기 > 닭요리",강원특별자치도 춘천시 남산면 햇골길 20,033-264-8892,1422,19,37.83573968576708,127.5333851127728,http://place.map.kakao.com/14104055,427947,90.0
운길산,음식점,잣나무집,"음식점 > 한식 > 육류,고기 > 오리",경기 남양주시 조안면 고래산로 276-67,031-576-8655,1391,19,37.5983256497972,127.28470789196,http://place.map.kakao.com/9921920,52873,90.0
봉화 문수산,음식점,우리전통한우,"음식점 > 한식 > 육류,고기",경북 봉화군 춘양면 의양로2길 28-2,054-674-3022,1303,17,36.9361128189313,128.91353238302,http://place.map.kakao.com/19476973,97653,90.0
진악산,카페,꽃채운카페,음식점 > 카페 > 전통찻집,충남 금산군 금산읍 비단로 85,010-7311-1702,1004,13,36.0992168983727,127.489955953232,http://place.map.kakao.com/857983768,26187,90.0
운문산,카페,아미꼬뜨,음식점 > 카페 > 테마카페 > 디저트카페,경북 청도군 매전면 오남길 305,0507-1335-0340,448,6,35.643366349094606,128.89987080447244,http://place.map.kakao.com/291107286,971,89.9
용문산,음식점,남도불고기,"음식점 > 한식 > 육류,고기 > 불고기,두루치기",경기 양평군 용문면 용문산로 600,031-772-1770,358,5,37.5428139450686,127.586336686127,http://place.map.kakao.com/1502991045,963,89.8
광교산,음식점,명성돼지갈비,"음식점 > 한식 > 육류,고기 > 갈비",경기 수원시 장안구 팔달로271번길 16-16,031-242-2122,190,3,37.2898525506873,127.01486365723476,http://place.map.kakao.com/10337111,920,89.6
광교산,카페,사과나무,음식점 > 카페,경기 수원시 장안구 수원천로 424,031-236-7318,305,4,37.2903436883816,127.020425820106,http://place.map.kakao.com/22401565,4492,89.5
추월산,음식점,칭찬,음식점 > 중식 > 중국요리,전남 담양군 창평면 의병로 45,061-381-1232,1329,18,35.2316319625285,127.009658336179,http://place.map.kakao.com/1165209042,8837,89.5
진악산,음식점,아이스크림세상&커피공간,음식점 > 간식 > 아이스크림,충남 금산군 금산읍 비호로 130,041-751-9888,334,4,36.10504669082004,127.49655331675858,http://place.map.kakao.com/831124338,843,89.3
천마산,음식점,춘천닭갈비,"음식점 > 한식 > 육류,고기 > 닭요리",경기 양평군 서종면 무내미길 63,031-773-8253,643,9,37.60452377654244,127.35147828924252,http://place.map.kakao.com/13643865,2707,89.3
화성 화산,음식점,쉼터 민물매운탕,"음식점 > 한식 > 해물,생선 > 매운탕,해물탕",경기 화성시 효행구 정남면 세자로 285-87,031-353-8886,559,7,37.19061940220367,126.97873609970279,http://place.map.kakao.com/9215768,2649,89.2
진악산,카페,금산다방,음식점 > 카페 > 다방,충남 금산군 금산읍 비범로 33,041-754-3806,312,4,36.1058023631756,127.491633820471,http://place.map.kakao.com/8808812,837,89.2
천마산,음식점,BHC치킨 양평서종점,음식점 > 치킨 > BHC치킨,경기 양평군 서종면 북한강로 769,031-774-0123,841,11,37.60587239438,127.349103004866,http://place.map.kakao.com/851228148,2597,89.1
천마산,음식점,서종중미산손두부,음식점 > 한식 > 두부전문점,경기 양평군 서종면 무내미길 38,031-771-6647,444,6,37.6027891992518,127.352746393604,http://place.map.kakao.com/752422580,790,89.0
가평 강씨봉,음식점,마당육전막국수,음식점 > 한식 > 국수,강원특별자치도 춘천시 남산면 햇골길 1-22,010-5932-9979,1238,17,37.8371244071393,127.534980954787,http://place.map.kakao.com/84707842,7261,88.6
용봉산,음식점,먹쇠한우가든식당,"음식점 > 한식 > 육류,고기",충남 홍성군 구항면 구항길 257,041-633-5077,459,6,36.585284541822006,126.62608780803188,http://place.map.kakao.com/1237346897,723,88.6
광교산,카페,별이네카페,음식점 > 카페,경기 수원시 팔달구 정조로886번길 32,031-247-8403,312,4,37.28719239754355,127.01700126006872,http://place.map.kakao.com/1073652337,3485,88.4
화성 화산,음식점,한국순대국 소머리국밥,음식점 > 한식 > 국밥,경기 화성시 효행구 정남면 세자로 274,031-354-4847,669,9,37.1913513617799,126.980505275252,http://place.map.kakao.com/2019784954,2145,88.3
화성 화산,음식점,30년전통속초코다리냉면 봉담점,음식점 > 한식 > 냉면,경기 화성시 효행구 정남면 세자로 330-10,031-352-6811,1085,14,37.195089033010696,126.98114519734786,http://place.map.kakao.com/20997332,6709,88.3
진악산,음식점,강릉집,"음식점 > 한식 > 해물,생선",충남 금산군 금산읍 만자동3길 2,041-751-4775,179,2,36.1085387513246,127.492871427622,http://place.map.kakao.com/210787216,638,88.1
화성 화산,음식점,옛수원가든,음식점 > 한식,경기 화성시 효행구 정남면 세자로303번길 15-12,031-352-8652,891,12,37.193585425503,126.977419737941,http://place.map.kakao.com/11186660,10556,88.0
거제 가라산,카페,길,음식점 > 카페,경남 거제시 동부면 거제남서로 2902,055-637-6620,951,13,34.8217655899487,128.591862629449,http://place.map.kakao.com/20851110,155578,88.0
용문산,음식점,용문산중앙식당,음식점 > 한식,경기 양평군 용문면 용문산로 644,031-773-3422,771,10,37.5456697841463,127.583302682019,http://place.map.kakao.com/8462845,12769,88.0
주왕산,음식점,주왕산맛집,음식점 > 한식,경북 청송군 주왕산면 공원길 154-5,054-873-4317,521,7,36.39145303063004,129.14212015143082,http://place.map.kakao.com/19729191,19168,88.0
용문산,음식점,용문산첫번째식당,음식점 > 한식,경기 양평군 용문면 용문산로 654,031-771-3422,856,11,37.54620658914434,127.5826098123964,http://place.map.kakao.com/1108949125,11945,88.0
간월산,음식점,소문난손만두 가야밀면,음식점 > 한식,울산 울주군 상북면 상북로 276,052-262-2100,695,9,35.5898395999442,129.090977146474,http://place.map.kakao.com/1946229670,148116,88.0
화성 화산,음식점,오병이어 왕코다리,"음식점 > 한식 > 해물,생선",경기 화성시 효행구 정남면 세자로303번길 15-3,0507-1360-0182,885,12,37.193553075133465,126.97788378707354,http://place.map.kakao.com/1019941379,1992,88.0
두륜산,음식점,한오백년식당,음식점 > 한식,전남 해남군 삼산면 대흥사길 158,061-534-5633,566,8,34.49697246084712,126.61704985781017,http://place.map.kakao.com/9554913,40891,88.0
팔공산,음식점,동화식당,음식점 > 한식,대구 동구 팔공산로185길 61-10,053-981-1511,438,6,35.9894097441894,128.695239042073,http://place.map.kakao.com/10287542,3044,87.8
두륜산,음식점,전주식당,음식점 > 한식,전남 해남군 삼산면 대흥사길 170,061-532-7696,691,9,34.4958045213749,126.617158632511,http://place.map.kakao.com/8539471,9127,87.6
화성 화산,음식점,만나음식점,음식점 > 뷔페 > 한식뷔페,경기 화성시 효행구 정남면 괘랑1길8번길 20,031-8059-3644,883,12,37.182022761096135,126.98719580797668,http://place.map.kakao.com/1850873473,1794,87.5
용문산,음식점,용문산황해식당,음식점 > 한식,경기 양평군 용문면 용문산로 640,031-773-3775,737,10,37.545498761285025,127.58363403038915,http://place.map.kakao.com/8014600,8776,87.4
백운산(광양),음식점,섬진강횟집,"음식점 > 한식 > 해물,생선 > 회",경남 하동군 하동읍 섬진강대로 2539-8,055-883-5527,645,9,35.0890817424805,127.716214991572,http://place.map.kakao.com/9877420,1746,87.4
두륜산,음식점,목포식당,음식점 > 한식,전남 해남군 삼산면 대흥사길 174-2,061-534-5604,751,10,34.4952316160243,126.617291904622,http://place.map.kakao.com/21251974,8469,87.3
천마산(전남),음식점,치킨아이,음식점 > 치킨,전남 순천시 해룡면 해룡로 1130,061-724-3224,942,13,34.91436221248066,127.5368608517051,http://place.map.kakao.com/8587611,8282,87.2
용문산,음식점,용문산은행나무식당,음식점 > 한식,경기 양평군 용문면 용문산로 638,031-773-3131,726,10,37.5454298302631,127.583726281463,http://place.map.kakao.com/10666459,8208,87.1
주왕산,음식점,공주식당,"음식점 > 한식 > 육류,고기 > 닭요리",경북 청송군 주왕산면 공원길 154,054-873-4119,517,7,36.3915738021112,129.142067746562,http://place.map.kakao.com/724462855,1637,87.1
진악산,음식점,국민뼈구이 직영점,"음식점 > 한식 > 육류,고기",충남 금산군 금산읍 비호로 88,041-751-9298,242,3,36.1062235032719,127.492225048168,http://place.map.kakao.com/536959515,516,87.1
진악산,카페,투썸플레이스 충남금산점,음식점 > 카페 > 커피전문점 > 투썸플레이스,충남 금산군 금산읍 금산로 1528,041-753-7771,372,5,36.10972124176318,127.49130950679586,http://place.map.kakao.com/823811012,491,86.9
팔공산,카페,올라오니,음식점 > 카페,대구 동구 팔공산로185길 60,053-982-0103,310,4,35.9898001690218,128.693882464739,http://place.map.kakao.com/728141950,2476,86.9
사량도 지리산,음식점,사량대교횟집,"음식점 > 한식 > 해물,생선 > 회",경남 통영시 사량면 상도일주로 1580-14,055-648-8588,1190,16,34.8450248323774,128.219827347333,http://place.map.kakao.com/1221032583,4771,86.8
간월산,음식점,뉴치킨백화점,음식점 > 치킨,울산 울주군 상북면 상북로 306,052-254-9952,922,12,35.59176647932213,129.08882860328015,http://place.map.kakao.com/27522401,7667,86.8
진악산,음식점,60계 충남금산점,음식점 > 치킨 > 60계치킨,충남 금산군 금산읍 금산로 1522,041-753-6120,354,5,36.10924535319,127.491102189823,http://place.map.kakao.com/1806382182,477,86.8
팔공산,카페,투썸플레이스 대구팔공산점,음식점 > 카페 > 커피전문점 > 투썸플레이스,대구 동구 팔공산로 1175,053-986-8036,396,5,35.988276818293336,128.69340527146784,http://place.map.kakao.com/26909509,448,86.5
진악산,카페,설빙 충남금산점,음식점 > 카페 > 테마카페 > 디저트카페 > 설빙,충남 금산군 금산읍 금산로 1510,041-751-1256,362,5,36.1082835700255,127.490489814146,http://place.map.kakao.com/2074686038,431,86.4
추월산,음식점,창평전통안두부,음식점 > 한식 > 두부전문점,전남 담양군 창평면 의병로 29,061-383-9288,1250,17,35.2305468435204,127.00823452275,http://place.map.kakao.com/9443079,4322,86.4
천마산,카페,나인블럭 서종점,음식점 > 카페 > 커피전문점 > 나인블럭,경기 양평군 서종면 중미산로 47,031-771-0252,717,10,37.604018915982714,127.35728205387349,http://place.map.kakao.com/168122756,1374,86.4
금원산,음식점,거창식당,음식점 > 한식,경남 함양군 안의면 농월정길 9-1,055-962-4498,550,7,35.6233789832667,127.780794182661,http://place.map.kakao.com/16550331,6854,86.4
천마산,음식점,문호리가족김밥,음식점 > 분식,경기 양평군 서종면 중미산로 22,031-771-8284,595,8,37.6039175000621,127.354461738832,http://place.map.kakao.com/2112823655,6657,86.2
일림산,음식점,중앙식육점식당,"음식점 > 한식 > 육류,고기",전남 보성군 겸백면 충의로 2488,061-853-6008,1150,15,34.8301041917623,127.150972122077,http://place.map.kakao.com/10789612,4063,86.1
백운산(광양),음식점,이화가든,"음식점 > 한식 > 해물,생선",경남 하동군 하동읍 섬진강대로 2507,055-884-0075,387,5,35.0878190210311,127.719401566779,http://place.map.kakao.com/8050079,406,86.1
용문산,카페,젤코바,음식점 > 카페 > 테마카페 > 디저트카페,경기 양평군 용문면 용문산로 576-20,031-774-4538,280,4,37.5429401584488,127.587952366555,http://place.map.kakao.com/957490124,402,86.1
진악산,음식점,청년피자 금산점,음식점 > 양식 > 피자 > 청년피자,충남 금산군 금산읍 금산로 1510-1,041-754-1491,360,5,36.10837616467413,127.49054591997925,http://place.map.kakao.com/1933168941,393,86.0
두륜산,음식점,해남식당,음식점 > 한식,전남 해남군 삼산면 대흥사길 98-2,061-535-5584,508,7,34.497487491288986,126.62003410604632,http://place.map.kakao.com/23953090,6294,86.0
용문산,음식점,용문산식당,음식점 > 한식,경기 양평군 용문면 용문산로 654,010-2576-7383,856,11,37.54620658914434,127.5826098123964,http://place.map.kakao.com/27469245,6139,85.9
천마산,음식점,서종가든,음식점 > 한식 > 두부전문점,경기 양평군 서종면 무내미길 68,031-773-6035,691,9,37.6049043771657,127.351046341348,http://place.map.kakao.com/7936036,1239,85.9
안성 칠현산,음식점,씨드앤씨드 베이커리,"음식점 > 간식 > 제과,베이커리",경기 안성시 삼죽면 서동대로 5976,031-8057-8257,979,13,37.030701680400874,127.34862762919828,http://place.map.kakao.com/189065095,1224,85.9
주왕산,음식점,민박촌식당,"음식점 > 한식 > 육류,고기 > 닭요리",경북 청송군 주왕산면 당마을길 11,054-873-4777,743,10,36.391321713940926,129.1393940815051,http://place.map.kakao.com/25706038,1193,85.8
광교산,카페,이디야커피 수원화홍문점,음식점 > 카페 > 커피전문점 > 이디야커피,경기 수원시 팔달구 화서문로75번길 27,031-302-1280,319,4,37.287131137585575,127.01692681790708,http://place.map.kakao.com/1393193411,379,85.8
진악산,음식점,영동순대,음식점 > 한식 > 순대,충남 금산군 금산읍 비호로 86,041-751-5335,254,3,36.1062477277919,127.492031959613,http://place.map.kakao.com/823997610,381,85.8
진악산,카페,카페봄봄 금산점,음식점 > 카페 > 커피전문점 > 카페봄봄,충남 금산군 금산읍 비호로 77,041-751-0526,301,4,36.10683714290449,127.49114717045181,http://place.map.kakao.com/521517929,368,85.7
주왕산,음식점,명일여관식당,음식점 > 한식,경북 청송군 주왕산면 공원길 212,054-873-2904,185,2,36.3953375368543,129.145762939232,http://place.map.kakao.com/212491669,1870,85.7
화성 화산,음식점,황태랑,"음식점 > 한식 > 해물,생선",경기 화성시 효행구 정남면 세자로 304-19,031-354-1775,1003,13,37.19440417506179,126.98078494457697,http://place.map.kakao.com/13619806,3694,85.7
용문산,음식점,월남식당,"음식점 > 한식 > 육류,고기 > 닭요리",경기 양평군 용문면 용문산로636번길 14,031-773-3425,753,10,37.54639582732958,127.58479071113621,http://place.map.kakao.com/9322073,1117,85.5
진악산,음식점,유성본가누룽지삼계탕,음식점 > 한식,충남 금산군 금산읍 금산로 1522,041-751-8985,354,5,36.10924535319,127.491102189823,http://place.map.kakao.com/190844043,1729,85.4
팔공산,음식점,수다레스토랑,음식점 > 양식,대구 동구 동화사2길 21-10,053-982-1833,668,9,35.9910457517134,128.698325518241,http://place.map.kakao.com/1573958607,5451,85.4
남해 금산,카페,남해 이동복떡집,음식점 > 카페 > 테마카페 > 떡카페,경남 남해군 이동면 무림로68번길 5-1,010-9423-4477,1028,14,34.79957401142268,127.95366177669302,http://place.map.kakao.com/9952736,3457,85.4
영인산,음식점,원조 음봉할머니집,"음식점 > 한식 > 사철탕,영양탕",충남 아산시 음봉면 음봉면로 35,041-543-2862,639,9,36.8501964036093,127.013419148265,http://place.map.kakao.com/16655155,1076,85.3
팔공산,음식점,달성식당,음식점 > 한식,대구 동구 팔공산로185길 36,053-983-0110,309,4,35.9894158427575,128.69353162913,http://place.map.kakao.com/10260564,1659,85.2
주왕산,카페,카페드롭탑 주왕산국립공원,음식점 > 카페 > 커피전문점 > 드롭탑,경북 청송군 주왕산면 공원길 172,,347,5,36.3924466757931,129.143634049198,http://place.map.kakao.com/203097448,19031,85.0
주왕산,음식점,주왕산약수삼계탕,"음식점 > 한식 > 육류,고기 > 닭요리 > 삼계탕",경북 청송군 주왕산면 공원길 175,054-873-2923,300,4,36.3928479604382,129.143966023873,http://place.map.kakao.com/898096039,316,85.0
진악산,카페,이디야커피 금산중앙점,음식점 > 카페 > 커피전문점 > 이디야커피,충남 금산군 금산읍 비단로 309,041-754-2670,567,8,36.10985677272727,127.48880034100436,http://place.map.kakao.com/1717228799,985,84.9
진악산,카페,컴포즈커피 금산터미널점,음식점 > 카페 > 커피전문점 > 컴포즈커피,충남 금산군 금산읍 후곤천길 83,041-753-6800,398,5,36.10518843931426,127.49102363036165,http://place.map.kakao.com/920693544,298,84.8
남해 금산,음식점,용문중화요리,음식점 > 중식 > 중국요리,경남 남해군 이동면 무림로 54-1,055-863-2518,1180,16,34.8010027714357,127.953075039563,http://place.map.kakao.com/9279044,2861,84.6
가평 강씨봉,음식점,호원가든,"음식점 > 한식 > 육류,고기 > 닭요리",강원특별자치도 춘천시 남산면 북한강변길 344,033-263-9235,1355,18,37.84338270750228,127.55227680151799,http://place.map.kakao.com/905810884,2790,84.5
삼봉산,음식점,삼거리식육식당,"음식점 > 한식 > 육류,고기",경남 함양군 유림면 천왕봉로 2869,055-964-2660,1444,19,35.4660232843839,127.791362351127,http://place.map.kakao.com/21288312,2760,84.4
화성 화산,카페,스타벅스 화성보통저수지점,음식점 > 카페 > 커피전문점 > 스타벅스,경기 화성시 효행구 정남면 세자로 293,1522-3232,767,10,37.192495349931086,126.97848666273516,http://place.map.kakao.com/1808491861,830,84.2
천마산(전남),음식점,홍익돈까스 순천점,"음식점 > 일식 > 돈까스,우동 > 홍익돈까스",전남 순천시 해룡면 대가길 2,061-726-1200,1223,16,34.92884036963899,127.5418988644611,http://place.map.kakao.com/26973925,2584,84.1
광교산,음식점,송탄참작부대찌개,"음식점 > 한식 > 찌개,전골",경기 수원시 장안구 팔달로 289,,110,1,37.29052818838108,127.01594643342463,http://place.map.kakao.com/839870815,7765,83.9
영인산,음식점,논두렁민물매운탕,"음식점 > 한식 > 해물,생선 > 매운탕,해물탕",충남 아산시 음봉면 음봉로 150,041-542-3984,733,10,36.8472094312177,127.02787773398,http://place.map.kakao.com/8858546,750,83.8
용문산,카페,구름정원제빵소,음식점 > 카페 > 테마카페 > 디저트카페,경기 양평군 용문면 용문산로 543,031-773-0722,261,3,37.5385345905134,127.588261736606,http://place.map.kakao.com/1288125279,234,83.7
천마산,음식점,유리네벌교꼬막정식,"음식점 > 한식 > 해물,생선 > 조개",경기 양평군 서종면 하문호나룻터길 14-1,031-771-5839,879,12,37.605857652653995,127.34799309430848,http://place.map.kakao.com/1856899942,748,83.7
천마산,음식점,신의주 가마솥찹쌀순대 문호리점,음식점 > 한식 > 순대,경기 양평군 서종면 중미산로 4,031-771-1293,543,7,37.60368139964051,127.35267133437931,http://place.map.kakao.com/27533628,745,83.7
진악산,음식점,일품양평해장국 금산점,음식점 > 한식 > 해장국 > 일품양평해장국,충남 금산군 금산읍 비범로 76,041-751-8379,250,3,36.1094207362148,127.492943574985,http://place.map.kakao.com/375972085,234,83.7
백암산,음식점,내장산민속가든,음식점 > 한식,전북특별자치도 정읍시 내장산로 519,063-537-7789,303,4,35.519217450545014,126.90487366082,http://place.map.kakao.com/26804184,1141,83.6
